tweet_id,clean_text
786143495711064064,"С дочкой 💕 @ Pļavnieki, Rīga https://t.co/LC3ZAZQ49d"
786146910830792704,Ресторан Sēnīte вошел в список охраняемых памятников культуры  https://t.co/2HPR1dhnAY
786186993071947776,I'm at Стара Рига - @vecriga in Rīga https://t.co/xxSTh1qjwQ
786244727414874113,I'm at В Квартире Мороз - @nicolemhatesu55 in Rīga https://t.co/AUip3UIDkx
786344060839690241,Место у окна 😍 @ Lubauši https://t.co/vhRyqvs0a4
786487971088302080,I'm at Klusais сentrs | Silent centre | Тихий центр in Rīga https://t.co/442JsqYlQk
786488857940205573,Письма от преподавателей в академии выглядят так:  Učasķije objazaķeļno! Prepodovaķeļ.
786499436910354432,Композиция 👌🏽 @ Brīvības Piemineklis https://t.co/mQL9uKQHJD
786529808901701632,"I'm at Памятник свободы in Rīga, Latvija https://t.co/60mB5yb1of"
786566921021972480,"Baltcom и Lattelecom возбновили ретрансляцию ""РТР Планета""; Ērika un Co Ltd. разрешения не получил https://t.co/SaduP3jKkM"
786583136394158080,I'm at В Квартире Мороз - @nicolemhatesu55 in Rīga https://t.co/3R0IOnsi2u
786592092185321473,I'm at Вантовый мост in Rīga w/ @asuhacky https://t.co/zsVHNBH4Pj
786623074565234688,"Ну где там уже этот 27 - ой октябрь . . . 🙄 (@ Teika in Rīga, Latvija) https://t.co/pR5BAzaF5d"
786661224654237697,• Послушать LittleBig вживую - ✅. Так еще и бесплатно и мерч фор фри урвала. Ееее. @ Klubs Melnā… https://t.co/Mn2M6cJ3v6
786661871851974656,Найду ли куртку в гардеробе? @ Klubs Melnā Piektdiena https://t.co/mTQyWapUIA
786801336691986437,16-го октября добро пожаловать на великолепный поздний завтрак в Klīversala! Подробности и контакты здесь: https://t.co/hWbm8dU3A2 https://t.co/a0qgPazLTb
786844988936192000,Любимый англ )))) (@ žukovas būris) https://t.co/f6sDs51AlO https://t.co/yFdgK3oZvQ
786850212111327232,I'm at В Квартире Мороз - @nicolemhatesu55 in Rīga https://t.co/j3fFe3kfRe
786854247274983424,Мы снова ВСЕ в сборе на три дня и готовы к финальному турниру в Стайцеле ❤️⚽️🙌🏽 @ Nacionāla… https://t.co/C8NVSY3Jvo
786857016253820933,"Дорогая выздоравливает, готовит быстрый завтрак тому, кто всю ночь работал ) @ Purvciems, Rīga https://t.co/P7x2T3E5dG"
786862184810905600,I'm at Рига in Rīga https://t.co/a23MABUmrO
786868199845429248,"Постер подписанный Ильичом, Олимпией и Gokkom ) #littlebig #riga #melnapiekdiena @ Klubs Melnā… https://t.co/zNpBrsGeOy"
