tweet_id,clean_text
996466081169485824,Dedpūls 2! Бегом в кино! Просто шедевр от мира фильмов 18+ (в нашей… https://t.co/ytzOKbzEcj
836169100648927232,"Calvin Kleins džemperis ĢERTRŪDES 61, RĪGA  https://t.co/kRdXuc81ij ☎24 42 27 70 Мужские свитера и… https://t.co/0QfZuiWECI"
919768707286659072,I'm at Tapešu iela in Рига https://t.co/aF7O564AQj
834452936960901121,Мы сюда) напротив нашего переулка этот ресторанчик ) @ Restorāns 1221 https://t.co/Z8UR7fO5Qg
989808883785981952,Как это делается? Березовый сок на предприятии Kainaiži https://t.co/FjNoLNaVD8
835709420520816641,Доброе снежное утро)) @ Kaļķu iela https://t.co/Jmy5vJA4VE
798882395143409664,Когда засмотрелся сериал и чуть не опоздал на транспорт 👌 (@ TC „Kauguri“ in Jūrmala) https://t.co/QDZB1cQ0oO
845324461662519296,I'm at Tapešu iela in Рига https://t.co/cSTZTFrHoS
905835132501807104,А меню-то немножко сократилось... Но главное блюдо(-а) не отменить!! (@ Bufete 9 grādi) https://t.co/DSAkscL3Td https://t.co/4VRtABb9BQ
801886036959916032,"I'm at Международный аэропорт Рига in Rīga, Latvia https://t.co/0IVZj3lPbA"
858355030419804160,I'm at Tapešu iela in Рига https://t.co/oy41QkwD9O
964502591399919616,"🇱🇹 Brangieji lietuviai, sveikiname su šimtmečių! Sirsnīgi sveicieni Lietuvas simtgadē! От всей души поздравляю со столетием Литвы! #riga #рига https://t.co/8DbUevYyv1"
803523479710695424,"Вид из окна :) #сказка #юрмала #снег #зима❄️ @ Jūrmala,kauguri https://t.co/0qUQrfretG"
789918483605782528,"Понеслась🤘🏻 (@ Rīgas Skaņu Fabrika in Riga, Latvia) https://t.co/ThyBVcLNBV"
885156228552417281,"I'm at Рижский зоопарк in Rīga, Latvia https://t.co/WTRZ3tVtHV"
1013836252049797120,LV: Kapitālais remonts ir pabeigts. Vienmēr ir patīkami piedalīties un vērot kā ideja top par realitāti.  Vairākas bildes galerijā! RU: Капитальный ремонт завершен. Всегда приятно… https://t.co/uVMOK7T1ZX
909122598021271552,Настолочки: #secrethitler @ Alus Muiža https://t.co/AAlkhhiom6
866365904862552064,Вечернее чудо ;~} @ Langstiņu Ezers https://t.co/DVRXkvGWbN
853661773219680258,Рижское агентство «Rīgas gaisma» мечтает о городском освещении на высшем уровне. И платит за свои мечты. https://t.co/ExwI40Ilf3
990441073637027840,I'm at Tapešu iela in Рига https://t.co/GoPPEuSUI5
896685580708433920,Только что опубликовано фото @ Latvijas Nacionālais Vēstures Muzejs https://t.co/12pbt4BOdj
